,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
67,Christmas Gift Metal Decor,$23.99,$11.99,50%,5.0,1,Tabletop Decor,Christmas Gift Metal Decor,
68,Merry Christmas Wood Truck Decor,$4.99,$2.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Truck Decor,
69,White Yarn Christmas Tree Wood Decor,$13.99,$6.99,50%,No reviews yet,0,Tabletop Decor,White Yarn Christmas Tree Wood Decor,
70,Pretty Face & Christmas Card Wall Decor,$8.99,$4.49,50%,No reviews yet,0,Wall Decor,Pretty Face & Christmas Card Wall Decor,Open Road Brands
71,Merry Christmas Snoopy Wall Decor,$6.99,$3.49,50%,No reviews yet,0,Wall Decor,Merry Christmas Snoopy Wall Decor,Open Road Brands
72,Christmas Wreath Wood Wall Decor,$19.99,$9.99,50%,No reviews yet,0,Wall Decor,Christmas Wreath Wood Wall Decor,
73,Christmas Cow Canvas Wall Decor,$22.99,$11.49,50%,No reviews yet,0,Wall Decor,Christmas Cow Canvas Wall Decor,
74,Merry Christmas Arch Wood Wall Decor,$36.99,$18.49,50%,No reviews yet,0,Wall Decor,Merry Christmas Arch Wood Wall Decor,
75,Not Christmas Without Cookies Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Not Christmas Without Cookies Wood Decor,
76,Christmas Truck Round Wood Decor,$5.49,$2.74,50%,No reviews yet,0,Tabletop Decor,Christmas Truck Round Wood Decor,
77,Merry & Bright Glitter Tree Wood Decor,$3.49,$1.74,50%,No reviews yet,0,Tabletop Decor,Merry & Bright Glitter Tree Wood Decor,
78,Merry Christmas Glitter Tree Wood Decor,$3.49,$1.74,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Glitter Tree Wood Decor,
79,Christmas Lights Gnome Wood Decor,$5.99,$2.99,50%,No reviews yet,0,Tabletop Decor,Christmas Lights Gnome Wood Decor,
80,Merry Christmas Stacked Books Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Stacked Books Wood Decor,
81,Merry Christmas Stacked Books Wood Decor,$7.49,$3.74,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Stacked Books Wood Decor,
82,Merry Christmas Ornament Wood Wall Decor,$27.99,$13.99,50%,No reviews yet,0,Wall Decor,Merry Christmas Ornament Wood Wall Decor,
83,Merry Christmas Poinsettia Metal Wall Decor,$15.99,$7.99,50%,5.0,1,Wall Decor,Merry Christmas Poinsettia Metal Wall Decor,
84,Merry Christmas Wood Wall Decor,$33.99,$16.99,50%,No reviews yet,0,Wall Decor,Merry Christmas Wood Wall Decor,
85,Red & White Block Christmas Countdown Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Advent & Countdown Calendars,Red & White Block Christmas Countdown Wood Decor,
86,Merry Little Christmas Wood Wall Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Merry Little Christmas Wood Wall Decor,
87,Merry Christmas Wood Wall Decor,$8.99,$4.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Wall Decor,
88,Farm Fresh Christmas Trees Wood Decor,$2.49,$1.24,50%,No reviews yet,0,Tabletop Decor,Farm Fresh Christmas Trees Wood Decor,
89,Red & White Merry Christmas Jumbo Tree Decor,$6.99,$3.49,50%,No reviews yet,0,Wall Decor,Red & White Merry Christmas Jumbo Tree Decor,The Christmas Shoppe
90,Christmas Tree Wood Decor,$1.99,$0.99,50%,No reviews yet,0,Craft Supplies,Christmas Tree Wood Decor,Brother Sister Design Studio
91,Merry Christmas Metal Wall Decor,$15.99,$7.99,50%,No reviews yet,0,Wall Decor,Merry Christmas Metal Wall Decor,
92,Merry Christmas Wood Wall Decor,$2.49,$1.24,50%,No reviews yet,0,Craft Ornaments,Merry Christmas Wood Wall Decor,Brother Sister Design Studio
93,Jingle Bells,$6.99,$3.49,50%,5.0,1,Christmas Bells,Jingle Bells,Brother Sister Design Studio
94,"Blue, Gold & White Snowflakes Cotton Fabric",$8.99,$4.49,50%,5.0,1,Christmas Fabric,"Blue, Gold & White Snowflakes Cotton Fabric",
95,Owl Pick,$6.99,$3.49,50%,4.8,4,Tree Picks,Owl Pick,
96,Christmas Cookie Recipes Wood Book Decor,$7.49,$3.74,50%,No reviews yet,0,Tabletop Decor,Christmas Cookie Recipes Wood Book Decor,
97,Merry Christmas Buffalo Check Wood Wall Decor,$10.99,$5.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Buffalo Check Wood Wall Decor,
98,Christmas Dogs In Truck Canvas Wall Decor,$39.99,$19.99,50%,No reviews yet,0,Wall Decor,Christmas Dogs In Truck Canvas Wall Decor,
99,Farm Fresh Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Farm Fresh Wood Decor,
100,Pine & Berry Star Wood Wall Decor,$9.99,$4.99,50%,No reviews yet,0,Wall Decor,Pine & Berry Star Wood Wall Decor,The Christmas Shoppe
101,Metallic Silver Christmas Tree,$11.99,$5.99,50%,5.0,1,Decorative Trees,Metallic Silver Christmas Tree,
102,Merry Christmas Beaded Pillow With Tassels,$39.99,$19.99,50%,No reviews yet,0,Pillows,Merry Christmas Beaded Pillow With Tassels,
103,Christmas Charlie Brown Nutcracker,$34.99,$17.49,50%,No reviews yet,0,Nutcrackers,Christmas Charlie Brown Nutcracker,Ruz
104, Merry Christmas Sign Santa Claus,$22.99,$11.49,50%,No reviews yet,0,Animals & Figurines,Merry Christmas Sign Santa Claus,
105,Merry Christmas Metal Train,$69.99,$34.99,50%,5.0,1,Tabletop Decor,Merry Christmas Metal Train,
106,White Snowy Tree,$18.99,$9.49,50%,3.0,2,Decorative Trees,White Snowy Tree,Robert Stanley
107,Pinecone & Cardinal Snow Globe,$39.99,$19.99,50%,No reviews yet,0,Snow Globes,Pinecone & Cardinal Snow Globe,
108,Merry & Bright Decorative Wood Ladder,$3.99,$1.99,50%,No reviews yet,0,Mini Accessories,Merry & Bright Decorative Wood Ladder,My Little Christmas
109,Merry Christmas Decorative Wood Ladder,$3.99,$1.99,50%,No reviews yet,0,Mini Accessories,Merry Christmas Decorative Wood Ladder,My Little Christmas
110,Glitter Mesh Bow,$5.99,$2.99,50%,No reviews yet,0,Bows,Glitter Mesh Bow,
111,Buffalo Check Wired Edge Ribbon,$7.99,$3.99,50%,No reviews yet,0,Ribbon,Buffalo Check Wired Edge Ribbon,
112,White Blank Ball Ornaments,$9.99,$4.99,50%,No reviews yet,0,Craft Ornaments,White Blank Ball Ornaments,Brother Sister Design Studio
113,Taper Candles,$7.99,$3.99,50%,1.0,1,Candles,Taper Candles,
114,"Metallic Mesh Wired Edge Ribbon - 10""",$10.99,$5.49,50%,No reviews yet,0,Deco Mesh,"Metallic Mesh Wired Edge Ribbon - 10""",Robert Stanley
115,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",$9.99,$4.99,50%,No reviews yet,0,Deco Mesh,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",
116,"Tinsel Lattice Ribbon - 4""",$12.99,$6.49,50%,No reviews yet,0,Ribbon,"Tinsel Lattice Ribbon - 4""",Robert Stanley
117,Red Mercury Glass Candle Holder,$31.99,$15.99,50%,5.0,2,Candle Holders,Red Mercury Glass Candle Holder,
118,Green Advent Wreath Metal Form,$4.99,$2.49,50%,5.0,2,Candle Rings,Green Advent Wreath Metal Form,
119,Red & White Striped Bow,$11.99,$5.99,50%,No reviews yet,0,Bows,Red & White Striped Bow,
120,Merry & Bright Decorative Wood Ladder,$3.99,$1.99,50%,No reviews yet,0,Mini Accessories,Merry & Bright Decorative Wood Ladder,My Little Christmas
121,Merry Christmas Decorative Wood Ladder,$3.99,$1.99,50%,No reviews yet,0,Mini Accessories,Merry Christmas Decorative Wood Ladder,My Little Christmas
122,Glitter Mesh Bow,$5.99,$2.99,50%,No reviews yet,0,Bows,Glitter Mesh Bow,
123,Buffalo Check Wired Edge Ribbon,$7.99,$3.99,50%,No reviews yet,0,Ribbon,Buffalo Check Wired Edge Ribbon,
124,White Blank Ball Ornaments,$9.99,$4.99,50%,No reviews yet,0,Craft Ornaments,White Blank Ball Ornaments,Brother Sister Design Studio
125,Taper Candles,$7.99,$3.99,50%,1.0,1,Candles,Taper Candles,
126,"Metallic Mesh Wired Edge Ribbon - 10""",$10.99,$5.49,50%,No reviews yet,0,Deco Mesh,"Metallic Mesh Wired Edge Ribbon - 10""",Robert Stanley
127,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",$9.99,$4.99,50%,No reviews yet,0,Deco Mesh,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",
128,"Tinsel Lattice Ribbon - 4""",$12.99,$6.49,50%,No reviews yet,0,Ribbon,"Tinsel Lattice Ribbon - 4""",Robert Stanley
129,Red Mercury Glass Candle Holder,$31.99,$15.99,50%,5.0,2,Candle Holders,Red Mercury Glass Candle Holder,
130,Green Advent Wreath Metal Form,$4.99,$2.49,50%,5.0,2,Candle Rings,Green Advent Wreath Metal Form,
131,Red & White Striped Bow,$11.99,$5.99,50%,No reviews yet,0,Bows,Red & White Striped Bow,
132,Red Hot Cinnamon Pillar Candle,$9.99,$4.99,50%,5.0,1,Candles,Red Hot Cinnamon Pillar Candle,DD
133,Christmas Tree Wood Decor,$1.99,$0.99,50%,No reviews yet,0,Craft Supplies,Christmas Tree Wood Decor,Brother Sister Design Studio
134,Merry Christmas Wood Wall Decor,$2.49,$1.24,50%,No reviews yet,0,Craft Ornaments,Merry Christmas Wood Wall Decor,Brother Sister Design Studio
135,Jingle Bells,$6.99,$3.49,50%,5.0,1,Christmas Bells,Jingle Bells,Brother Sister Design Studio
136,Owl Pick,$6.99,$3.49,50%,4.8,4,Tree Picks,Owl Pick,
137,Merry Christmas Banner Metal Wall Decor,$8.99,$4.49,50%,No reviews yet,0,Wreath Embellishments,Merry Christmas Banner Metal Wall Decor,
138,Christmas Tree Wood Wall Decor,$6.49,$3.24,50%,No reviews yet,0,Craft Supplies,Christmas Tree Wood Wall Decor,Brother Sister Design Studio
139,Christmas Dot Confetti,$2.99,$1.49,50%,No reviews yet,0,Craft Supplies,Christmas Dot Confetti,Brother Sister Design Studio
140,Canadian Pine Stems ,$2.99,$1.49,50%,5.0,1,Craft Supplies,Canadian Pine Stems,Brother Sister Design Studio
141,"Crinkle Wired Edge Sheer Ribbon - 4 3/4""",$12.99,$6.49,50%,5.0,3,Ribbon,"Crinkle Wired Edge Sheer Ribbon - 4 3/4""",Robert Stanley
142,Ultra Slim Cashmere Bristol Pine Pre-Lit Christmas Tree - 9',$329.98,$164.99,50%,2.1,14,8-9 Feet,Ultra Slim Cashmere Bristol Pine Pre-Lit Christmas Tree - 9',
143,Yuletide Pine Pre-Lit Christmas Tree - 4.5',$139.98,$69.99,50%,3.7,3,Under 6 Feet,Yuletide Pine Pre-Lit Christmas Tree - 4.5',
144,Mini Christmas Presents,$2.99,$1.49,50%,No reviews yet,0,Craft Supplies,Mini Christmas Presents,Brother Sister Design Studio
145,Flocked Alpine Pre-Lit Christmas Tree - 5',$119.98,$59.99,50%,3.3,6,Under 6 Feet,Flocked Alpine Pre-Lit Christmas Tree - 5',
146,Yuletide Pine Pre-Lit Christmas Tree - 12',$1199.98,$599.99,50%,1.8,30,10-12 Feet,Yuletide Pine Pre-Lit Christmas Tree - 12',
147,Richland Fir Pre-Lit Christmas Tree – 9’,$599.98,$299.99,50%,4.5,2,8-9 Feet,Richland Fir Pre-Lit Christmas Tree – 9’,
148,Slim Sedona Fir Pre-Lit Christmas Tree - 7.5',$269.98,$134.99,50%,5.0,2,7- 7.5 Feet,Slim Sedona Fir Pre-Lit Christmas Tree - 7.5',
149,Potted Evergreen Pre-Lit Christmas Tree - 4.5',$139.98,$69.99,50%,5.0,2,Under 6 Feet,Potted Evergreen Pre-Lit Christmas Tree - 4.5',
150,Flocked Monarch Pine Pre-Lit Christmas Tree - 4.5',$119.98,$59.99,50%,5.0,1,Under 6 Feet,Flocked Monarch Pine Pre-Lit Christmas Tree - 4.5',
151,Flocked Monarch Pine Pre-Lit Christmas Tree - 3.5',$79.98,$39.99,50%,No reviews yet,0,Under 6 Feet,Flocked Monarch Pine Pre-Lit Christmas Tree - 3.5',
152,Snow Pine Needle Christmas Tree - 3',$79.98,$39.99,50%,5.0,1,Under 6 Feet,Snow Pine Needle Christmas Tree - 3',
153,Flocked Edgewood Pine Pre-Lit Christmas Tree - 7.5',$399.98,$199.99,50%,4.4,9,7- 7.5 Feet,Flocked Edgewood Pine Pre-Lit Christmas Tree - 7.5',
154,Narrow Flocked Monterey Pine Pre-Lit Christmas Tree - 7.5',$379.98,$189.99,50%,5.0,2,7- 7.5 Feet,Narrow Flocked Monterey Pine Pre-Lit Christmas Tree - 7.5',
155,Mountain Cashmere Twinkle Pre-Lit Christmas Tree - 7.5',$499.98,$249.99,50%,4.5,8,7- 7.5 Feet,Mountain Cashmere Twinkle Pre-Lit Christmas Tree - 7.5',
156,Crafter's Secret Big Idea Yarn,$11.99,$8.39,30%,4.1,84,Yarn,Crafter's Secret Big Idea Yarn,Crafter's Secret
157,Mini Christmas Presents,$2.99,$1.49,50%,No reviews yet,0,Craft Supplies,Mini Christmas Presents,Brother Sister Design Studio
158,Flocked Alpine Pre-Lit Christmas Tree - 5',$119.98,$59.99,50%,3.3,6,Under 6 Feet,Flocked Alpine Pre-Lit Christmas Tree - 5',
159,"7-Mesh Plastic Canvas Sheet - 10 1/2"" x 13 1/2""",$0.99,Not on Sale,0,4.7,10,Plastic Canvas,"7-Mesh Plastic Canvas Sheet - 10 1/2"" x 13 1/2""",Artiste
160,Yuletide Pine Pre-Lit Christmas Tree - 12',$1199.98,$599.99,50%,1.8,30,10-12 Feet,Yuletide Pine Pre-Lit Christmas Tree - 12',
161,Farm Fresh Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Farm Fresh Wood Decor,
162,Richland Fir Pre-Lit Christmas Tree – 9’,$599.98,$299.99,50%,4.5,2,8-9 Feet,Richland Fir Pre-Lit Christmas Tree – 9’,
163,Slim Sedona Fir Pre-Lit Christmas Tree - 7.5',$269.98,$134.99,50%,5.0,2,7- 7.5 Feet,Slim Sedona Fir Pre-Lit Christmas Tree - 7.5',
164,Potted Evergreen Pre-Lit Christmas Tree - 4.5',$139.98,$69.99,50%,5.0,2,Under 6 Feet,Potted Evergreen Pre-Lit Christmas Tree - 4.5',
165,Flocked Monarch Pine Pre-Lit Christmas Tree - 4.5',$119.98,$59.99,50%,5.0,1,Under 6 Feet,Flocked Monarch Pine Pre-Lit Christmas Tree - 4.5',
166,Flocked Monarch Pine Pre-Lit Christmas Tree - 3.5',$79.98,$39.99,50%,No reviews yet,0,Under 6 Feet,Flocked Monarch Pine Pre-Lit Christmas Tree - 3.5',
167,Snow Pine Needle Christmas Tree - 3',$79.98,$39.99,50%,5.0,1,Under 6 Feet,Snow Pine Needle Christmas Tree - 3',
168,Slim Yuletide Pine Pre-Lit Christmas Tree - 9',$579.98,$289.99,50%,2.6,19,8-9 Feet,Slim Yuletide Pine Pre-Lit Christmas Tree - 9',
169,Slim Yuletide Pine Christmas Tree - 7.5',$239.98,$119.99,50%,4.6,21,7- 7.5 Feet,Slim Yuletide Pine Christmas Tree - 7.5',
170,Merry Christmas Gel Clings,$2.49,$1.24,50%,5.0,1,Window & Wall Clings,Merry Christmas Gel Clings,Brother Sister Design Studio
171,Christmas Tree Beaded Table Runner,$54.99,$27.49,50%,No reviews yet,0,Table Linens & Accessories,Christmas Tree Beaded Table Runner,Robert Stanley
172,Christmas Characters Diamond Art Value Pack,$29.99,$14.99,50%,No reviews yet,0,Craft Kits,Christmas Characters Diamond Art Value Pack,Diamond Dotz
173,"Christmas Cardstock Paper Pack - 4 1/2"" x 6 1/2""",$6.49,$3.24,50%,No reviews yet,0,Paper Crafts,"Christmas Cardstock Paper Pack - 4 1/2"" x 6 1/2""",
174,Merry Christmas Fringe Table Runner,$24.99,$12.49,50%,No reviews yet,0,Table Linens & Accessories,Merry Christmas Fringe Table Runner,Robert Stanley
175,Merry Christmas Branches Gift Boxes,$3.99,$1.99,50%,No reviews yet,0,Boxes,Merry Christmas Branches Gift Boxes,Brother Sister Design Studio
176,Christmas Candy Gift Box,$2.99,$1.49,50%,No reviews yet,0,Boxes,Christmas Candy Gift Box,Brother Sister Design Studio
177,Christmas Tree Elf Ornament,$9.99,$4.99,50%,No reviews yet,0,Themed & Fashion Ornaments,Christmas Tree Elf Ornament,
178,Merry Christmas Activities Placemats,$2.99,$1.49,50%,No reviews yet,0,Craft Supplies,Merry Christmas Activities Placemats,Brother Sister Design Studio
179,LED Flameless Pillar Candle Set,$44.99,$22.49,50%,3.0,4,Candles,LED Flameless Pillar Candle Set,
180,Wavy LED Candle Set,$59.99,$29.99,50%,No reviews yet,0,Candles,Wavy LED Candle Set,
181,Red Tea Light LED Candles,$15.99,$7.99,50%,No reviews yet,0,Candles,Red Tea Light LED Candles,
182,Tinsel Garland,$14.99,$7.49,50%,3.8,13,Garlands,Tinsel Garland,The Christmas Shoppe
183,Mini Fashion Lights,$6.99,$5.24,25%,No reviews yet,0,Mini Lights,Mini Fashion Lights,
184,Mini Lights,$6.99,$5.24,25%,No reviews yet,0,Mini Lights,Mini Lights,
185,Mini Lights,$6.99,$5.24,25%,No reviews yet,0,Mini Lights,Mini Lights,
186,Holly Wreath Embellishments,$3.99,$1.99,50%,No reviews yet,0,Paper Crafts,Holly Wreath Embellishments,
187,"Holly, Pine & Berry Bush",$12.99,$6.49,50%,No reviews yet,0,Floral Bushes & Greenery,"Holly, Pine & Berry Bush",
188,Inflatable Ornament,$19.99,$9.99,50%,3.2,5,Basic Ornaments,Inflatable Ornament,The Christmas Shoppe
189,Metal Ornament Hooks,$1.99,$0.99,50%,No reviews yet,0,Ornament Accessories,Metal Ornament Hooks,The Christmas Shoppe
190,White Mini Bottle Brush Trees,$2.99,$1.49,50%,No reviews yet,0,Mini Trees,White Mini Bottle Brush Trees,My Little Christmas
191,Green Pine Metal Work Wreath,$8.99,$4.49,50%,No reviews yet,0,Work Wreaths,Green Pine Metal Work Wreath,
192,Ball Ornaments,$8.99,$4.49,50%,5.0,1,Craft Ornaments,Ball Ornaments,Brother Sister Design Studio
193,Red & Gold Nutcracker Hat Tree Topper,$27.99,$13.99,50%,No reviews yet,0,Tree Toppers,Red & Gold Nutcracker Hat Tree Topper,The Christmas Shoppe
194,Pink Cotton Candy Pick,$22.99,$11.49,50%,No reviews yet,0,Tree Picks,Pink Cotton Candy Pick,The Christmas Shoppe
